Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
1, 0, 0.00493629, 0.00313023, 0.00236252, 0.000998416
1, 0.005, 0.0148091, 0.00329203, 0.0147942, 0.00237337
1, 0.01, 0.024633, 0.00348352, 0.0272016, 0.00478878
1, 0.015, 0.0344508, 0.00377555, 0.0395896, 0.00826203
1, 0.02, 0.0442715, 0.00414949, 0.0519917, 0.0127941
1, 0.025, 0.0541012, 0.00462217, 0.0644021, 0.0183956
1, 0.03, 0.0639365, 0.00520638, 0.0768034, 0.0250692
1, 0.035, 0.0737665, 0.00591228, 0.0891672, 0.0328044
1, 0.04, 0.0835743, 0.0067483, 0.101456, 0.0415739
1, 0.045, 0.0933375, 0.00772269, 0.113626, 0.051331
1, 0.05, 0.103028, 0.00884519, 0.125623, 0.0620062
1, 0.055, 0.112616, 0.0101261, 0.13739, 0.073511
1, 0.06, 0.122077, 0.0115697, 0.148892, 0.0857592
1, 0.065, 0.131409, 0.0131694, 0.160142, 0.0986981
1, 0.07, 0.140626, 0.0149111, 0.171182, 0.112315
1, 0.075, 0.149748, 0.0167815, 0.18206, 0.126617
1, 0.08, 0.158794, 0.0187708, 0.192819, 0.14162
1, 0.085, 0.167782, 0.0208725, 0.20349, 0.15734
1, 0.09, 0.176725, 0.023082, 0.214098, 0.173796
1, 0.095, 0.185639, 0.0253954, 0.224668, 0.191009
2, 0, 0.00771297, 0.00321548, 0.0103245, 0.00116698
2, 0.005, 0.0220073, 0.00348451, 0.014475, 0.000924
2, 0.01, 0.0361722, 0.00386629, 0.0186943, 0.00112646
2, 0.015, 0.0502702, 0.00435989, 0.0229406, 0.00176449
2, 0.02, 0.0643168, 0.00497617, 0.0272301, 0.00283211
2, 0.025, 0.0783161, 0.00572286, 0.0315772, 0.00431931
2, 0.03, 0.0922563, 0.00661294, 0.0360171, 0.00620779
2, 0.035, 0.106113, 0.00765621, 0.0405846, 0.00846969
2, 0.04, 0.119846, 0.00886544, 0.0453286, 0.0110634
2, 0.045, 0.133398, 0.0102578, 0.0503143, 0.0139294
2, 0.05, 0.146704, 0.0118524, 0.055607, 0.0169952
2, 0.055, 0.159725, 0.0136629, 0.061234, 0.0201984
2, 0.06, 0.172478, 0.0156903, 0.0671539, 0.0235153
2, 0.065, 0.185035, 0.0179239, 0.0732728, 0.0269665
2, 0.07, 0.197495, 0.020347, 0.0794834, 0.0305995
2, 0.075, 0.209955, 0.0229386, 0.0856881, 0.0344729
2, 0.08, 0.2225, 0.0256722, 0.0918038, 0.0386498
2, 0.085, 0.23519, 0.0285135, 0.0977636, 0.0431918
2, 0.09, 0.248055, 0.0314218, 0.103518, 0.0481545
2, 0.095, 0.261088, 0.0343526, 0.10904, 0.05358
3, 0, 0.00756853, 0.00275086, 0.0134832, 0.000224999
3, 0.005, 0.0210276, 0.00300043, 0.0170952, 0.000479695
3, 0.01, 0.0343896, 0.00335147, 0.0205738, 0.00115374
3, 0.015, 0.0477046, 0.00381475, 0.0239905, 0.00224421
3, 0.02, 0.0609891, 0.0044057, 0.0273778, 0.00374928
3, 0.025, 0.0742422, 0.00514107, 0.0307479, 0.00566522
3, 0.03, 0.087447, 0.0060351, 0.0340929, 0.00798458
3, 0.035, 0.100572, 0.00710828, 0.0373949, 0.0106943
3, 0.04, 0.113571, 0.00838694, 0.0406291, 0.0137742
3, 0.045, 0.126399, 0.00989758, 0.0437793, 0.0171996
3, 0.05, 0.139044, 0.0116543, 0.0468582, 0.020951
3, 0.055, 0.15154, 0.0136524, 0.0499089, 0.0250238
3, 0.06, 0.163958, 0.0158719, 0.0529824, 0.0294287
